,loading,Input,Match type,Approved symbol,Approved name,HGNC ID,Location
CXorf38,-0.007859259,CXorf38,Approved symbol,CXorf38,chromosome X open reading frame 38,HGNC:28589,12q15
RAP1B,-0.007847201,RAP1B,Approved symbol,RAP1B,"RAP1B, member of RAS oncogene family",HGNC:9857,9q34.2
SURF4,-0.007843014,SURF4,Approved symbol,SURF4,surfeit 4,HGNC:11476,2p23.1
XDH,-0.007837192,XDH,Approved symbol,XDH,xanthine dehydrogenase,HGNC:12805,
CTC-448F2.6,0.007833135,CTC-448F2.6,Unmatched,CTC-448F2.6,,,9q33.1
ASTN2,0.007830717,ASTN2,Approved symbol,ASTN2,astrotactin 2,HGNC:17021,6p22.1
TRIM26,-0.007813704,TRIM26,Approved symbol,TRIM26,tripartite motif containing 26,HGNC:12962,7p14.3
NPSR1,-0.007810765,NPSR1,Approved symbol,NPSR1,neuropeptide S receptor 1,HGNC:23631,7q21.2
SAMD9,-0.007809054,SAMD9,Approved symbol,SAMD9,sterile alpha motif domain containing 9,HGNC:1348,
RP11-152P17.2,-0.00777838,RP11-152P17.2,Unmatched,RP11-152P17.2,,,
RP3-460G2.2,0.007774568,RP3-460G2.2,Unmatched,RP3-460G2.2,,,8q24.13
DERL1,-0.007768557,DERL1,Approved symbol,DERL1,derlin 1,HGNC:28454,
AC025335.1,0.007761875,AC025335.1,Unmatched,AC025335.1,,,
RP11-57A19.2,0.00775794,RP11-57A19.2,Unmatched,RP11-57A19.2,,,
RP11-1348G14.4,0.007751813,RP11-1348G14.4,Unmatched,RP11-1348G14.4,,,
RP11-416I2.1,-0.007750842,RP11-416I2.1,Unmatched,RP11-416I2.1,,,Xq22.1
BEX4,0.007740838,BEX4,Approved symbol,BEX4,brain expressed X-linked 4,HGNC:25475,4q35.1
ENPP6,0.007728777,ENPP6,Approved symbol,ENPP6,ectonucleotide pyrophosphatase/phosphodiesterase 6,HGNC:23409,18q12.1
CCDC178,-0.00772815,CCDC178,Approved symbol,CCDC178,coiled-coil domain containing 178,HGNC:29588,15q26.1
ABHD2,-0.007728053,ABHD2,Approved symbol,ABHD2,"abhydrolase domain containing 2, acylglycerol lipase",HGNC:18717,22q11.1
TPTEP1,-0.007722261,TPTEP1,Approved symbol,TPTEP1,TPTE pseudogene 1,HGNC:43648,Xq22.1
DRP2,-0.007716091,DRP2,Approved symbol,DRP2,dystrophin related protein 2,HGNC:3032,Xp11.22
SHROOM4,-0.007706908,SHROOM4,Approved symbol,SHROOM4,shroom family member 4,HGNC:29215,12q13.3
R3HDM2,0.007706531,R3HDM2,Approved symbol,R3HDM2,R3H domain containing 2,HGNC:29167,1p31.1
C1orf173,0.00770587,C1orf173,Previous symbol,ERICH3,glutamate rich 3,HGNC:25346,17p13.1
NDEL1,-0.007705827,NDEL1,Approved symbol,NDEL1,nudE neurodevelopment protein 1 like 1,HGNC:17620,16q11.2
GPT2,-0.007700515,GPT2,Approved symbol,GPT2,glutamic--pyruvic transaminase 2,HGNC:18062,7p11.2
FKBP9L,-0.00769958,FKBP9L,Previous symbol,FKBP9P1,FKBP prolyl isomerase 9 pseudogene 1,HGNC:23568,3q13.33
GTF2E1,-0.007696087,GTF2E1,Approved symbol,GTF2E1,general transcription factor IIE subunit 1,HGNC:4650,
RP11-134K13.4,0.007692098,RP11-134K13.4,Unmatched,RP11-134K13.4,,,3q29
FYTTD1,-0.007664811,FYTTD1,Approved symbol,FYTTD1,forty-two-three domain containing 1,HGNC:25407,4q31.22
SLC10A7,-0.007663897,SLC10A7,Approved symbol,SLC10A7,solute carrier family 10 member 7,HGNC:23088,
RP4-758J18.10,-0.007659716,RP4-758J18.10,Unmatched,RP4-758J18.10,,,1q32.2-q32.3
RCOR3,0.007654884,RCOR3,Approved symbol,RCOR3,REST corepressor 3,HGNC:25594,7p14.3
GARS,-0.007652948,GARS,Previous symbol,GARS1,glycyl-tRNA synthetase 1,HGNC:4162,
RP11-51J9.6,0.007650089,RP11-51J9.6,Unmatched,RP11-51J9.6,,,7q32.1
FLNC,-0.007647843,FLNC,Approved symbol,FLNC,filamin C,HGNC:3756,15q25.1
PSMA4,-0.00763574,PSMA4,Approved symbol,PSMA4,proteasome 20S subunit alpha 4,HGNC:9533,1q24.3
MYOC,0.007633767,MYOC,Approved symbol,MYOC,myocilin,HGNC:7610,2q37.1
PSMD1,-0.007604104,PSMD1,Approved symbol,PSMD1,"proteasome 26S subunit, non-ATPase 1",HGNC:9554,12q24.11
IFT81,-0.007593109,IFT81,Approved symbol,IFT81,intraflagellar transport 81,HGNC:14313,10p12.1
LRRC37A6P,0.007592889,LRRC37A6P,Approved symbol,LRRC37A6P,"leucine rich repeat containing 37 member A6, pseudogene",HGNC:33746,7p12.3
UPP1,-0.007590917,UPP1,Approved symbol,UPP1,uridine phosphorylase 1,HGNC:12576,
RP11-690G19.3,0.007581264,RP11-690G19.3,Unmatched,RP11-690G19.3,,,6p25.2
BPHL,0.00758089,BPHL,Approved symbol,BPHL,biphenyl hydrolase like,HGNC:1094,4q35.2
F11,-0.007575016,F11,Approved symbol,F11,coagulation factor XI,HGNC:3529,10q26.13
NSMCE4A,0.007573251,NSMCE4A,Approved symbol,NSMCE4A,"NSE4 homolog A, SMC5-SMC6 complex component",HGNC:25935,
RP11-266L9.4,0.00756528,RP11-266L9.4,Unmatched,RP11-266L9.4,,,Xp11.23
RBM3,-0.007562597,RBM3,Approved symbol,RBM3,RNA binding motif protein 3,HGNC:9900,6q25.1
ULBP3,-0.007547624,ULBP3,Approved symbol,ULBP3,UL16 binding protein 3,HGNC:14895,4q25
SGMS2,-0.007524722,SGMS2,Approved symbol,SGMS2,sphingomyelin synthase 2,HGNC:28395,3q29
PAK2,-0.007509316,PAK2,Approved symbol,PAK2,p21 (RAC1) activated kinase 2,HGNC:8591,21q22.11
GART,-0.007507078,GART,Approved symbol,GART,"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase",HGNC:4163,1q42.2
SLC35F3,0.007505196,SLC35F3,Approved symbol,SLC35F3,solute carrier family 35 member F3,HGNC:23616,9q33.3
NEK6,-0.007502009,NEK6,Approved symbol,NEK6,NIMA related kinase 6,HGNC:7749,5q35.3
RASGEF1C,0.007498536,RASGEF1C,Approved symbol,RASGEF1C,RasGEF domain family member 1C,HGNC:27400,7q31
MET,-0.007486937,MET,Approved symbol,MET,"MET proto-oncogene, receptor tyrosine kinase",HGNC:7029,7q21.2
CDK6,0.007484906,CDK6,Approved symbol,CDK6,cyclin dependent kinase 6,HGNC:1777,19p13.3
R3HDM4,-0.007467692,R3HDM4,Approved symbol,R3HDM4,R3H domain containing 4,HGNC:28270,2p23.3
C2orf70,-0.007467428,C2orf70,Previous symbol,FAM166C,family with sequence similarity 166 member C,HGNC:27938,12q22
SOCS2-AS1,0.007467167,SOCS2-AS1,Approved symbol,SOCS2-AS1,SOCS2 antisense RNA 1,HGNC:27054,3q26.31
FNDC3B,-0.007449869,FNDC3B,Approved symbol,FNDC3B,fibronectin type III domain containing 3B,HGNC:24670,5q31.3
EIF4EBP3,0.00744214,EIF4EBP3,Approved symbol,EIF4EBP3,eukaryotic translation initiation factor 4E binding protein 3,HGNC:3290,12p13.32
C12orf4,-0.007429423,C12orf4,Approved symbol,C12orf4,chromosome 12 open reading frame 4,HGNC:1184,11q13.2
ADRBK1,-0.00741297,ADRBK1,Previous symbol,GRK2,G protein-coupled receptor kinase 2,HGNC:289,7q22.3
SLC26A4-AS1,-0.007388307,SLC26A4-AS1,Approved symbol,SLC26A4-AS1,SLC26A4 antisense RNA 1,HGNC:22385,
RP11-348N5.7,0.007382579,RP11-348N5.7,Unmatched,RP11-348N5.7,,,
RP11-247I13.3,0.007361599,RP11-247I13.3,Unmatched,RP11-247I13.3,,,16p12.1
SBK1,0.0073614,SBK1,Approved symbol,SBK1,SH3 domain binding kinase 1,HGNC:17699,
GS1-72M22.1,0.007358378,GS1-72M22.1,Unmatched,GS1-72M22.1,,,Xp22.3 and Yp13.3
IL3RA,-0.007344964,IL3RA,Approved symbol,IL3RA,interleukin 3 receptor subunit alpha,HGNC:6012,
RP11-484N16.1,-0.007338107,RP11-484N16.1,Unmatched,RP11-484N16.1,,,12q24.23
PEBP1,0.007332659,PEBP1,Approved symbol,PEBP1,phosphatidylethanolamine binding protein 1,HGNC:8630,
RP11-498C9.15,0.007331991,RP11-498C9.15,Unmatched,RP11-498C9.15,,,9p21.1
DNAJA1,-0.007327516,DNAJA1,Approved symbol,DNAJA1,DnaJ heat shock protein family (Hsp40) member A1,HGNC:5229,16q24.2
MVD,-0.007316228,MVD,Approved symbol,MVD,mevalonate diphosphate decarboxylase,HGNC:7529,
RP11-243A14.1,0.007290342,RP11-243A14.1,Unmatched,RP11-243A14.1,,,
AC103563.2,-0.007287284,AC103563.2,Unmatched,AC103563.2,,,
CTA-963H5.5,0.007286747,CTA-963H5.5,Unmatched,CTA-963H5.5,,,19q13.12
ZNF585B,0.00728525,ZNF585B,Approved symbol,ZNF585B,zinc finger protein 585B,HGNC:30948,19q13.31
ZNF285,0.007277258,ZNF285,Approved symbol,ZNF285,zinc finger protein 285,HGNC:13079,16q22.1
SNTB2,-0.007267455,SNTB2,Approved symbol,SNTB2,syntrophin beta 2,HGNC:11169,3p21.31
MST1R,-0.007266815,MST1R,Approved symbol,MST1R,macrophage stimulating 1 receptor,HGNC:7381,1q25.3
ZNF648,-0.007262748,ZNF648,Approved symbol,ZNF648,zinc finger protein 648,HGNC:18190,
CTD-2047H16.4,0.00726152,CTD-2047H16.4,Unmatched,CTD-2047H16.4,,,20p13
ATRN,0.007245111,ATRN,Approved symbol,ATRN,attractin,HGNC:885,8p21.2
ADAMDEC1,0.007244203,ADAMDEC1,Approved symbol,ADAMDEC1,ADAM like decysin 1,HGNC:16299,1p35.2
EIF3I,-0.007243453,EIF3I,Approved symbol,EIF3I,eukaryotic translation initiation factor 3 subunit I,HGNC:3272,13q12.13
MTMR6,-0.007227697,MTMR6,Approved symbol,MTMR6,myotubularin related protein 6,HGNC:7453,20q11.22
EIF2S2,-0.007224266,EIF2S2,Approved symbol,EIF2S2,eukaryotic translation initiation factor 2 subunit beta,HGNC:3266,
CTD-2350C19.1,0.007221515,CTD-2350C19.1,Unmatched,CTD-2350C19.1,,,2p13.1
SEMA4F,-0.007218721,SEMA4F,Approved symbol,SEMA4F,ssemaphorin 4F,HGNC:10734,21q22.3
TFF1,-0.007205017,TFF1,Approved symbol,TFF1,trefoil factor 1,HGNC:11755,4q31.21
HHIP-AS1,0.007176776,HHIP-AS1,Approved symbol,HHIP-AS1,HHIP antisense RNA 1,HGNC:44182,17q21.31
KANSL1-AS1,0.007171583,KANSL1-AS1,Approved symbol,KANSL1-AS1,KANSL1 antisense RNA 1,HGNC:43740,11p11.2
EXT2,-0.007152072,EXT2,Approved symbol,EXT2,exostosin glycosyltransferase 2,HGNC:3513,14q23.2
SGPP1,-0.007120277,SGPP1,Approved symbol,SGPP1,sphingosine-1-phosphate phosphatase 1,HGNC:17720,14q13.3
SLC25A21,0.007119147,SLC25A21,Approved symbol,SLC25A21,solute carrier family 25 member 21,HGNC:14411,14q22.3
EXOC5,-0.007110641,EXOC5,Approved symbol,EXOC5,exocyst complex component 5,HGNC:10696,
RP11-434B12.1,0.007107057,RP11-434B12.1,Unmatched,RP11-434B12.1,,,11p15.5
RIC8A,-0.007102629,RIC8A,Approved symbol,RIC8A,RIC8 guanine nucleotide exchange factor A,HGNC:29550,4q12
SPINK2,0.007096384,SPINK2,Approved symbol,SPINK2,serine peptidase inhibitor Kazal type 2,HGNC:11245,
RP13-131K19.7,0.007081018,RP13-131K19.7,Unmatched,RP13-131K19.7,,,3q21.3
ALDH1L1,-0.007076108,ALDH1L1,Approved symbol,ALDH1L1,aldehyde dehydrogenase 1 family member L1,HGNC:3978,21q21.1
CHODL,0.007069968,CHODL,Approved symbol,CHODL,chondrolectin,HGNC:17807,
RP11-655B23.1,-0.007065552,RP11-655B23.1,Unmatched,RP11-655B23.1,,,16q22.1
PSMB10,-0.007059551,PSMB10,Approved symbol,PSMB10,proteasome 20S subunit beta 10,HGNC:9538,Xq28
CETN2,-0.00705877,CETN2,Approved symbol,CETN2,centrin 2,HGNC:1867,19q13.42
ZNF761,0.00704908,ZNF761,Approved symbol,ZNF761,zinc finger protein 761,HGNC:23179,
RP11-115D19.1,-0.007043499,RP11-115D19.1,Unmatched,RP11-115D19.1,,,11q13.1
MIR192,0.007039063,MIR192,Approved symbol,MIR192,microRNA 192,HGNC:31562,1p34.3
TEKT2,0.007036862,TEKT2,Approved symbol,TEKT2,tektin 2,HGNC:11725,16p12.2
UBFD1,-0.00702573,UBFD1,Approved symbol,UBFD1,ubiquitin family domain containing 1,HGNC:30565,19q13.42
DNAAF3,-0.007022933,DNAAF3,Approved symbol,DNAAF3,dynein axonemal assembly factor 3,HGNC:30492,10p15.3
IDI1,-0.00702145,IDI1,Approved symbol,IDI1,isopentenyl-diphosphate delta isomerase 1,HGNC:5387,11p15.4
ADM,-0.007012156,ADM,Approved symbol,ADM,adrenomedullin,HGNC:259,3q13.11
ALCAM,-0.007010785,ALCAM,Approved symbol,ALCAM,activated leukocyte cell adhesion molecule,HGNC:400,2p25.2
RSAD2,-0.007003601,RSAD2,Approved symbol,RSAD2,radical S-adenosyl methionine domain containing 2,HGNC:30908,
RP11-819C21.1,0.007001744,RP11-819C21.1,Unmatched,RP11-819C21.1,,,16p12.3
ITPRIPL2,-0.006983648,ITPRIPL2,Approved symbol,ITPRIPL2,ITPRIP like 2,HGNC:27257,
CTD-2619J13.17,0.006955161,CTD-2619J13.17,Unmatched,CTD-2619J13.17,,,11q13.2
ACY3,-0.006928313,ACY3,Approved symbol,ACY3,aminoacylase 3,HGNC:24104,5q34
FBLL1,0.006918562,FBLL1,Approved symbol,FBLL1,fibrillarin like 1,HGNC:35458,3p21.2
PARP3,-0.006918502,PARP3,Approved symbol,PARP3,poly(ADP-ribose) polymerase family member 3,HGNC:273,10q23.33
IDE,-0.00691406,IDE,Approved symbol,IDE,insulin degrading enzyme,HGNC:5381,17q23.3
KCNH6,0.006910434,KCNH6,Approved symbol,KCNH6,potassium voltage-gated channel subfamily H member 6,HGNC:18862,15q26.1
RCCD1,0.00690963,RCCD1,Approved symbol,RCCD1,RCC1 domain containing 1,HGNC:30457,18q12.3
LINC00907,0.006890896,LINC00907,Approved symbol,LINC00907,long intergenic non-protein coding RNA 907,HGNC:44327,3q21.1
PDIA5,-0.006889202,PDIA5,Approved symbol,PDIA5,protein disulfide isomerase family A member 5,HGNC:24811,
AL121578.7,-0.006880544,AL121578.7,Unmatched,AL121578.7,,,16q23.1
WDR59,0.006860731,WDR59,Approved symbol,WDR59,WD repeat domain 59,HGNC:25706,5q31.1
LEAP2,0.006855804,LEAP2,Approved symbol,LEAP2,liver enriched antimicrobial peptide 2,HGNC:29571,1p34.1
POMGNT1,0.006834023,POMGNT1,Approved symbol,POMGNT1,"protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)",HGNC:19139,
AC084809.3,0.006833944,AC084809.3,Unmatched,AC084809.3,,,
CTD-2589M5.4,-0.006833285,CTD-2589M5.4,Unmatched,CTD-2589M5.4,,,10p13
TRDMT1,0.006833064,TRDMT1,Approved symbol,TRDMT1,tRNA aspartic acid methyltransferase 1,HGNC:2977,9p11.1
MEP1AP4,0.006813066,MEP1AP4,Approved symbol,MEP1AP4,meprin A subunit alpha pseudogene 4,HGNC:39138,8p21.3
TNFRSF10A,-0.00678813,TNFRSF10A,Approved symbol,TNFRSF10A,TNF receptor superfamily member 10a,HGNC:11904,Xp11.4
SYTL5,-0.006780813,SYTL5,Approved symbol,SYTL5,synaptotagmin like 5,HGNC:15589,6p21.2
MOCS1,0.006779417,MOCS1,Approved symbol,MOCS1,molybdenum cofactor synthesis 1,HGNC:7190,8p23.1
FDFT1,-0.006776233,FDFT1,Approved symbol,FDFT1,farnesyl-diphosphate farnesyltransferase 1,HGNC:3629,3p24.2
THRB-IT1,0.006772492,THRB-IT1,Approved symbol,THRB-IT1,THRB intronic transcript 1,HGNC:41390,3q25.22
SCARNA7,0.006769956,SCARNA7,Approved symbol,SCARNA7,small Cajal body-specific RNA 7,HGNC:32563,4q25
RPL34,0.00675542,RPL34,Approved symbol,RPL34,ribosomal protein L34,HGNC:10340,22q12.2
TCN2,0.006750231,TCN2,Approved symbol,TCN2,transcobalamin 2,HGNC:11653,9q22.33
CORO2A,-0.006723748,CORO2A,Approved symbol,CORO2A,coronin 2A,HGNC:2255,9q31.3
LRRC37A5P,0.006708538,LRRC37A5P,Approved symbol,LRRC37A5P,"leucine rich repeat containing 37 member A5, pseudogene",HGNC:23369,1p32.3
C1orf177,-0.006701838,C1orf177,Previous symbol,LEXM,lymphocyte expansion molecule,HGNC:26854,11q12.3
MTA2,-0.006693384,MTA2,Approved symbol,MTA2,metastasis associated 1 family member 2,HGNC:7411,7p14.3
NT5C3A,-0.006669844,NT5C3A,Approved symbol,NT5C3A,"5'-nucleotidase, cytosolic IIIA",HGNC:17820,22q12.3
HMGXB4,-0.006638491,HMGXB4,Approved symbol,HMGXB4,HMG-box containing 4,HGNC:5003,11p15.5
TRPM5,0.006633943,TRPM5,Approved symbol,TRPM5,transient receptor potential cation channel subfamily M member 5,HGNC:14323,12q24.31
MIR5188,-0.006629666,MIR5188,Approved symbol,MIR5188,microRNA 5188,HGNC:43502,20p11.23
SEC23B,-0.00662401,SEC23B,Approved symbol,SEC23B,"SEC23 homolog B, COPII coat complex component",HGNC:10702,4q27
BBS7,-0.006593766,BBS7,Approved symbol,BBS7,Bardet-Biedl syndrome 7,HGNC:18758,9q34.11
LRRC8A,-0.006584119,LRRC8A,Approved symbol,LRRC8A,leucine rich repeat containing 8 VRAC subunit A,HGNC:19027,9q21.11
CBWD5,-0.006574983,CBWD5,Approved symbol,CBWD5,COBW domain containing 5,HGNC:24584,
RP11-488C13.1,0.006572157,RP11-488C13.1,Unmatched,RP11-488C13.1,,,11q13.1
DNAJC4,0.006564048,DNAJC4,Approved symbol,DNAJC4,DnaJ heat shock protein family (Hsp40) member C4,HGNC:5271,19q13.43
ZSCAN18,0.006562669,ZSCAN18,Approved symbol,ZSCAN18,zinc finger and SCAN domain containing 18,HGNC:21037,3q24
PLSCR1,-0.006561541,PLSCR1,Approved symbol,PLSCR1,phospholipid scramblase 1,HGNC:9092,16q24.1
LINC01082,0.006556654,LINC01082,Approved symbol,LINC01082,long intergenic non-protein coding RNA 1082,HGNC:49125,17p13.2
PLD2,-0.006555495,PLD2,Approved symbol,PLD2,phospholipase D2,HGNC:9068,
RP11-242F4.2,0.006552456,RP11-242F4.2,Unmatched,RP11-242F4.2,,,9q34.11
TBC1D13,0.006548502,TBC1D13,Approved symbol,TBC1D13,TBC1 domain family member 13,HGNC:25571,19q13.43
ZNF773,0.006546185,ZNF773,Approved symbol,ZNF773,zinc finger protein 773,HGNC:30487,
RP11-267D19.2,-0.006532084,RP11-267D19.2,Unmatched,RP11-267D19.2,,,8q12.3
ASPH,-0.00653036,ASPH,Approved symbol,ASPH,aspartate beta-hydroxylase,HGNC:757,
2-Sep,-0.006518106,2-Sep,Unmatched,2-Sep,,,19p13.2
ZNF177,0.006509503,ZNF177,Approved symbol,ZNF177,zinc finger protein 177,HGNC:12966,12q21.31
TMTC2,-0.00649698,TMTC2,Approved symbol,TMTC2,transmembrane O-mannosyltransferase targeting cadherins 2,HGNC:25440,17q12
MLLT6,0.006491953,MLLT6,Approved symbol,MLLT6,"MLLT6, PHD finger containing",HGNC:7138,1q21.3
SHC1,-0.006478405,SHC1,Approved symbol,SHC1,SHC adaptor protein 1,HGNC:10840,4p16.3
SH3BP2,-0.006475735,SH3BP2,Approved symbol,SH3BP2,SH3 domain binding protein 2,HGNC:10825,20p11.21
ACSS1,0.006439799,ACSS1,Approved symbol,ACSS1,acyl-CoA synthetase short chain family member 1,HGNC:16091,
LL09NC01-139C3.1,0.00643571,LL09NC01-139C3.1,Unmatched,LL09NC01-139C3.1,,,7q31.32
CADPS2,-0.00643304,CADPS2,Approved symbol,CADPS2,calcium dependent secretion activator 2,HGNC:16018,2p11.2
IGKV2-29,-0.006432362,IGKV2-29,Approved symbol,IGKV2-29,immunoglobulin kappa variable 2-29,HGNC:5784,13q31.1
SLITRK1,0.006420687,SLITRK1,Approved symbol,SLITRK1,SLIT and NTRK like family member 1,HGNC:20297,9q22.33
ALG2,-0.006408952,ALG2,Approved symbol,ALG2,"ALG2 alpha-1,3/1,6-mannosyltransferase",HGNC:23159,7q22.1
ACTL6B,0.006390581,ACTL6B,Approved symbol,ACTL6B,actin like 6B,HGNC:160,3p21.31
TCAIM,-0.006381065,TCAIM,Approved symbol,TCAIM,"T cell activation inhibitor, mitochondrial",HGNC:25241,
CTD-3138B18.5,-0.006376647,CTD-3138B18.5,Unmatched,CTD-3138B18.5,,,1q25.1
GAS5,0.006369841,GAS5,Approved symbol,GAS5,growth arrest specific 5,HGNC:16355,
RP4-773N10.4,0.006344906,RP4-773N10.4,Unmatched,RP4-773N10.4,,,17q25.3
PYCR1,-0.006343996,PYCR1,Approved symbol,PYCR1,pyrroline-5-carboxylate reductase 1,HGNC:9721,7p21.2
DGKB,0.006334594,DGKB,Approved symbol,DGKB,diacylglycerol kinase beta,HGNC:2850,17q24.3
ABCA10,0.006333372,ABCA10,Approved symbol,ABCA10,ATP binding cassette subfamily A member 10,HGNC:30,17q21.2
TNS4,-0.006330362,TNS4,Approved symbol,TNS4,tensin 4,HGNC:24352,19q13.13
ZNF383,0.006305784,ZNF383,Approved symbol,ZNF383,zinc finger protein 383,HGNC:18609,
RP11-813F20.4,-0.006292496,RP11-813F20.4,Unmatched,RP11-813F20.4,,,Xq23
AMMECR1,-0.006287437,AMMECR1,Approved symbol,AMMECR1,AMMECR nuclear protein 1,HGNC:467,9p11.2
CNTNAP3B,-0.006286173,CNTNAP3B,Approved symbol,CNTNAP3B,contactin associated protein family member 3B,HGNC:32035,6q14.1
TPBG,-0.006285812,TPBG,Approved symbol,TPBG,trophoblast glycoprotein,HGNC:12004,1p13.3
GNAI3,-0.006271809,GNAI3,Approved symbol,GNAI3,G protein subunit alpha i3,HGNC:4387,2q24.2
TANC1,-0.006263569,TANC1,Approved symbol,TANC1,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1",HGNC:29364,10q21.1
UBE2D1,-0.006257803,UBE2D1,Approved symbol,UBE2D1,ubiquitin conjugating enzyme E2 D1,HGNC:12474,1q42.12
C1orf95,-0.006253135,C1orf95,Previous symbol,STUM,"stum, mechanosensory transduction mediator homolog",HGNC:30491,11q12.1
PATL1,-0.006235377,PATL1,Approved symbol,PATL1,"PAT1 homolog 1, processing body mRNA decay factor",HGNC:26721,14q32.33
IGHV4-4,-0.006232677,IGHV4-4,Approved symbol,IGHV4-4,immunoglobulin heavy variable 4-4,HGNC:5652,15q21.3
PRTG,-0.00622687,PRTG,Approved symbol,PRTG,protogenin,HGNC:26373,
RP5-1112D6.8,0.006220912,RP5-1112D6.8,Unmatched,RP5-1112D6.8,,,19q13.43
ZNF444,0.00621916,ZNF444,Approved symbol,ZNF444,zinc finger protein 444,HGNC:16052,19q13.12
ZNF571,0.006196778,ZNF571,Approved symbol,ZNF571,zinc finger protein 571,HGNC:25000,6p22.1
TRIM15,-0.006195698,TRIM15,Approved symbol,TRIM15,tripartite motif containing 15,HGNC:16284,
CTB-176F20.3,0.006195612,CTB-176F20.3,Unmatched,CTB-176F20.3,,,19p12
ZNF98,0.006181699,ZNF98,Approved symbol,ZNF98,zinc finger protein 98,HGNC:13174,17q23.3
SCN4A,0.006178067,SCN4A,Approved symbol,SCN4A,sodium voltage-gated channel alpha subunit 4,HGNC:10591,2p24.2
KCNS3,-0.006176704,KCNS3,Approved symbol,KCNS3,potassium voltage-gated channel modifier subfamily S member 3,HGNC:6302,16q12.2
LPCAT2,-0.006155395,LPCAT2,Approved symbol,LPCAT2,lysophosphatidylcholine acyltransferase 2,HGNC:26032,19p13.3
LRG1,-0.006155136,LRG1,Approved symbol,LRG1,leucine rich alpha-2-glycoprotein 1,HGNC:29480,22q11.21
C22orf39,0.006145886,C22orf39,Approved symbol,C22orf39,chromosome 22 open reading frame 39,HGNC:27012,4q32.3
MSMO1,-0.006136936,MSMO1,Approved symbol,MSMO1,methylsterol monooxygenase 1,HGNC:10545,
RP11-509E16.1,0.006113603,RP11-509E16.1,Unmatched,RP11-509E16.1,,,6p24.3
TFAP2A-AS1,-0.006112918,TFAP2A-AS1,Approved symbol,TFAP2A-AS1,TFAP2A antisense RNA 1,HGNC:40579,9q21.13
OSTF1,-0.006112511,OSTF1,Approved symbol,OSTF1,osteoclast stimulating factor 1,HGNC:8510,20p12.1
FLRT3,-0.006107437,FLRT3,Approved symbol,FLRT3,fibronectin leucine rich transmembrane protein 3,HGNC:3762,20p12.2
SNAP25,0.006063122,SNAP25,Approved symbol,SNAP25,synaptosome associated protein 25,HGNC:11132,17q12
CCL14,0.006059919,CCL14,Approved symbol,CCL14,C-C motif chemokine ligand 14,HGNC:10612,15q24.1
CD276,-0.00604993,CD276,Approved symbol,CD276,CD276 molecule,HGNC:19137,11q21
MTMR2,-0.006045456,MTMR2,Approved symbol,MTMR2,myotubularin related protein 2,HGNC:7450,2q21.3
UBXN4,-0.006036363,UBXN4,Approved symbol,UBXN4,UBX domain protein 4,HGNC:14860,
AC004257.3,0.0060354,AC004257.3,Unmatched,AC004257.3,,,3p24.3
SATB1,0.006008259,SATB1,Approved symbol,SATB1,SATB homeobox 1,HGNC:10541,7q22.1
CYP3A4,0.00600515,CYP3A4,Approved symbol,CYP3A4,cytochrome P450 family 3 subfamily A member 4,HGNC:2637,16q23.2
C16orf46,-0.006003976,C16orf46,Approved symbol,C16orf46,chromosome 16 open reading frame 46,HGNC:26525,16p13.3
C16orf89,0.006001077,C16orf89,Approved symbol,C16orf89,chromosome 16 open reading frame 89,HGNC:28687,18q11.2
CHST9,0.005984218,CHST9,Approved symbol,CHST9,carbohydrate sulfotransferase 9,HGNC:19898,12q24.31
B3GNT4,-0.005980543,B3GNT4,Approved symbol,B3GNT4,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4",HGNC:15683,16q23.1
GLG1,-0.005971194,GLG1,Approved symbol,GLG1,golgi glycoprotein 1,HGNC:4316,7q22.1
CYP3A7,0.005965536,CYP3A7,Approved symbol,CYP3A7,cytochrome P450 family 3 subfamily A member 7,HGNC:2640,10q22.2
SEC24C,-0.005963412,SEC24C,Approved symbol,SEC24C,"SEC24 homolog C, COPII coat complex component",HGNC:10705,
AC006116.27,0.00595728,AC006116.27,Unmatched,AC006116.27,,,22q12.1
SEZ6L,0.005956066,SEZ6L,Approved symbol,SEZ6L,seizure related 6 homolog like,HGNC:10763,
RP11-184A2.2,-0.005944136,RP11-184A2.2,Unmatched,RP11-184A2.2,,,2q32.2
INPP1,-0.005922174,INPP1,Approved symbol,INPP1,inositol polyphosphate-1-phosphatase,HGNC:6071,
RP11-527H14.2,-0.00592114,RP11-527H14.2,Unmatched,RP11-527H14.2,,,14q22.1
PSMC6,-0.005892005,PSMC6,Approved symbol,PSMC6,"proteasome 26S subunit, ATPase 6",HGNC:9553,
RP11-416N2.4,0.00588978,RP11-416N2.4,Unmatched,RP11-416N2.4,,,Xq21.1
MAGT1,-0.005887078,MAGT1,Approved symbol,MAGT1,magnesium transporter 1,HGNC:28880,1p36.32
MMEL1,0.005874547,MMEL1,Approved symbol,MMEL1,membrane metalloendopeptidase like 1,HGNC:14668,11q14.1
KCTD21,-0.005850438,KCTD21,Approved symbol,KCTD21,potassium channel tetramerization domain containing 21,HGNC:27452,6q23.3
